"User ID","Username","Comment ID","Comment","Comment Time","User Homepage","Avatar URL"
"6072569952","dimasyogadyf","=""17894961578756565""","Info yang sudah datang ke lokasi lanjutan prosesnya gimana ?apa ada hasil","5/30/2023, 4:40:43 PM","https://www.instagram.com/dimasyogadyf","https://instagram.fsub6-6.fna.fbcdn.net/v/t51.2885-19/49567977_238860603715056_8471541181375840256_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-6.fna.fbcdn.net&_nc_cat=100&_nc_ohc=AN8sX20zWG4Q7kNvgG48cb9&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYBPKbB5pRvFCb2Y6eMbps8tE6E0Ojcuo31t7Cy9Q6f4QA&oe=666EEB29&_nc_sid=0985b0"
"5848467906","farieshizrian","=""18011131960654024""","Apa perlu membawa hard copy dokumen2?","5/31/2023, 12:53:03 AM","https://www.instagram.com/farieshizrian","https://instagram.fsub6-4.fna.fbcdn.net/v/t51.2885-19/346896056_593727799520587_5272688127775079992_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=gfAynPgADrgQ7kNvgEzuk2t&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYCJzu7Sp1F7HJ2Z0fJoFC2sr68YOzrRiHT_tGcj156RUA&oe=666EF958&_nc_sid=0985b0"
"10338102671","tutikwidi12_","=""17889294629780911""","min, ktp sda bisa ikut kah ?","5/31/2023, 1:04:16 AM","https://www.instagram.com/tutikwidi12_","https://instagram.fsub6-1.fna.fbcdn.net/v/t51.2885-19/59810389_2043551395755810_4038786129019797504_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=mTZbuZNlZFEQ7kNvgF5XSaE&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYAtLrhhxWK3FqnLPiSOR5DY6ho9betL0Set9lYVueHWQg&oe=666EF895&_nc_sid=0985b0"
"2285406045","l1vvv_","=""18056011708416757""","Ada yg dtg sesi 2 gak yaaa ??? Bareng yuk","5/31/2023, 7:40:49 AM","https://www.instagram.com/l1vvv_","https://instagram.fsub6-6.fna.fbcdn.net/v/t51.2885-19/447983064_718030617015549_1070500575000159753_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-6.fna.fbcdn.net&_nc_cat=109&_nc_ohc=aPegT7IfA-4Q7kNvgET8Tzz&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYDhnyBfetFNSRQ3Eyq19x3RefUm4wfVBGR5MBZCytMuRg&oe=666EFA99&_nc_sid=0985b0"
"225369396","irjngp","=""17866093193931944""","Cuma buat yg KTP Surabaya ta min ?","5/31/2023, 7:53:03 AM","https://www.instagram.com/irjngp","https://instagram.fsub6-6.fna.fbcdn.net/v/t51.2885-19/423558880_1499292317317809_8030979201256694786_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-6.fna.fbcdn.net&_nc_cat=109&_nc_ohc=UjeSzhGHeyMQ7kNvgFq1Rej&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYD70bI5viBl2Davyhw7KHcPVXFzh5ueueXAFl0VWlsYjw&oe=666EF203&_nc_sid=0985b0"
"1340616282","nafisayyi","=""18004519369775952""","@hanifaaaah","5/31/2023, 8:04:38 AM","https://www.instagram.com/nafisayyi","https://instagram.fsub6-7.fna.fbcdn.net/v/t51.2885-19/320421555_150459307770506_4243553871629293470_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-7.fna.fbcdn.net&_nc_cat=102&_nc_ohc=OlkEEKyKBEsQ7kNvgGe08Oi&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYADS6kGr-j3__HjbILb4WoQl1kLNR11PO5ADnLf7_0JYg&oe=666ECDBC&_nc_sid=0985b0"
"46639007717","yanfaridfaizol","=""17952130427621211""","Tolong admine di respon seng komen penting keluh kesah e ikiloh di arahno yaopo seng komen Iki Kabeh roto² suroboyo","5/31/2023, 8:24:50 AM","https://www.instagram.com/yanfaridfaizol","https://instagram.fsub6-6.fna.fbcdn.net/v/t51.2885-19/447174757_372295099191329_5533074711719759530_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-6.fna.fbcdn.net&_nc_cat=105&_nc_ohc=JfF1tx7mmTEQ7kNvgGARsxl&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYB0ObFMjVeTGCIEDaJYhQnIIseVeHOl8oiyFmehOFRN7g&oe=666EF682&_nc_sid=0985b0"
"5532696490","alvasya_195","=""17958882884385593""","@rabkasaktya_ar","6/7/2023, 11:22:46 AM","https://www.instagram.com/alvasya_195","https://instagram.fsub6-7.fna.fbcdn.net/v/t51.2885-19/334305980_2306482246201120_6589295637752216760_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-7.fna.fbcdn.net&_nc_cat=104&_nc_ohc=_qRW20em93sQ7kNvgGRBOxp&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYBQE1pkkp9RVTgtUacpCJ69g0kxseR9jGTxtW9DEPhjwg&oe=666EEB7B&_nc_sid=0985b0"
"4065911329","akbar_sa_raga","=""17996082661796481""","@alvasya_195 oke","6/7/2023, 11:25:19 AM","https://www.instagram.com/akbar_sa_raga","https://instagram.fsub6-7.fna.fbcdn.net/v/t51.2885-19/386897336_1785179525245118_1612566623261729976_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-7.fna.fbcdn.net&_nc_cat=102&_nc_ohc=qgdFy6u9uMIQ7kNvgFpqjl-&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYAXLVrCdVFX79IAUI7LCCyEK-hsJvjioqPPpqFWA8M39Q&oe=666ECB08&_nc_sid=0985b0"
"1652563916","aji__agung","=""17958513002536274""","Ruwet","6/11/2023, 8:14:19 PM","https://www.instagram.com/aji__agung","https://instagram.fsub6-7.fna.fbcdn.net/v/t51.2885-19/381299401_125926787275107_8486466098355701386_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fsub6-7.fna.fbcdn.net&_nc_cat=103&_nc_ohc=qZscxxSu104Q7kNvgFlbYgy&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYD5OUuj7bjpOL2wfMZa-NeT9-4jDW7BmMpzPmhZxTHpqw&oe=666EC98B&_nc_sid=0985b0"
